ano,sigla_uf,cob_ab,cob_acs,cob_esf,cob_vac_bcg,cob_vac_rota,cob_vac_menin,cob_vac_pneumo,cob_vac_polio,cob_vac_tvd1,cob_vac_penta,cob_vac_hepb,cob_vac_hepa,pct_prenatal_adeq,pct_prenatal_zero,pct_prenatal_1a6,pct_prenatal_7m,tx_mort_inf_ibge,n_obitos,n_obitos_csap,n_obitos_evit,n_obitos_maldef,tx_mort,tx_mort_csap,tx_mort_evit,pct_mort_maldef,tx_mort_aj_oms,tx_mort_csap_aj_oms,tx_mort_evit_aj_oms,tx_mort_aj_cens,tx_mort_csap_aj_cens,tx_mort_evit_aj_cens,n_hosp,n_hosp_csap,tx_hosp,tx_hosp_csap,n_leitouti_sus,n_leito_sus,tx_leito_sus,tx_leitouti_sus,n_enf,n_med,n_enf_ch,n_med_ch,tx_med,tx_enf,tx_med_ch,tx_enf_ch,n_leito_nsus,n_leitouti_nsus,tx_leito_nsus,tx_leitouti_nsus,cob_priv,pct_desp_recp_saude_mun,desp_tot_saude_pc_mun,desp_recp_saude_pc_mun,pct_desp_recp_saude_uf,desp_tot_saude_pc_uf,desp_recp_saude_pc_uf,desp_tot_saude_pc_mun_def,desp_recp_saude_pc_mun_def,desp_tot_saude_pc_uf_def,desp_recp_saude_pc_uf_def,num_familias_bf,gasto_pbf_pc_def
2010,AC,75.5582146391717,87.7534248160988,64.0648964307831,100.0,66.749718217951,0.65284178187404,4.86444800379664,100.0,96.8737023195112,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,9.20278835296631,57.7447700500488,30.1121559143066,22.0800819512697,,,,,392.774322509766,99.565544128418,72.6488723754883,13.5728540420532,381.877624511719,91.5290985107422,76.2077713012695,424.060180664062,103.289497375488,81.9905319213867,49138,10439,6420.54052734375,1363.99572753906,34,1393,182.014175415039,4.44255685806274,619,727,,,0.9499232172966,0.808806717395782,1.14007127285004,0.878678977489471,144,12,18.8155364990234,1.56796133518219,6.15699195861816,15.9966367890317,204.728572925001,114.166340402998,17.43,756.49,561.04,392.055532017592,218.628717456043,1448.67951345823,1074.39246286217,59779,194.538143314153
2010,AL,78.5806442618567,77.0517675567503,72.9615399726499,100.0,74.7949157126116,3.43481330730573,6.65284413594159,100.0,98.5810871720905,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,3.16077089309692,52.6899795532227,42.7867202758789,30.2197387981079,,,,,554.859924316406,164.949905395508,105.002250671387,8.58802318572998,449.750518798828,120.989883422852,101.134239196777,501.679962158203,137.124847412109,108.809440612793,184222,36535,5763.9228515625,1143.10400390625,207,4942,154.624893188477,6.47659873962402,1563,3226,,,1.00934815406799,0.48903015255928,1.34134435653687,0.504595875740051,923,159,28.8787479400635,4.97477865219116,9.9262170791626,18.1351543156594,329.063873781108,124.854672884598,12.34,221.78,148.88,630.157824380884,239.096890596632,424.709041090782,285.105428972837,414112,289.369318907388
2010,AM,65.2161612839629,69.1366898206473,50.4782415351823,100.0,58.681193721985,2.05178203878236,7.5857144746063,92.4803977310291,100.0,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,6.04680013656616,60.7402801513672,31.9485626220703,22.195897974802,,,,,374.259674072266,73.0338287353516,78.4093399047852,15.265453338623,365.29931640625,68.5517501831055,85.8297653198242,406.144775390625,77.3427276611328,92.0241394042969,163715,31310,4607.6044921875,881.1904296875,202,5502,154.848602294922,5.68509960174561,1794,3179,,,0.894699573516846,0.504904389381409,1.19718492031097,0.549055397510529,1061,201,29.8608436584473,5.65695524215698,12.7645120620728,18.9774477327594,264.019788365628,163.538580281035,20.67,504.84,360.75,505.598300774449,313.176632755462,966.76937642831,690.836804822345,278893,195.658268181831
2010,AP,90.0427539342716,89.2352328166368,73.2779133398978,100.0,73.5310576385003,0.395435544006327,4.54672635702294,90.7526580861779,92.0956911024063,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,4.91737747192383,60.9341697692871,32.602611541748,24.5793966523108,,,,,312.850646972656,54.4463844299316,71.8749847412109,13.5819520950317,331.33056640625,64.7373504638672,79.3012008666992,365.455780029297,72.8596115112305,83.5654296875,35305,4934,5085.26318359375,710.683715820312,26,950,136.836151123047,3.7449893951416,360,605,,,0.871430218219757,0.518536984920502,1.16890478134155,0.580797433853149,207,39,29.8158760070801,5.6174840927124,9.3428840637207,17.9257588818561,233.824705054364,111.239862976315,12.03,548.27,400.33,447.774669794274,213.024508683113,1049.93789322231,766.632565695162,44096,166.175598247522
2010,BA,66.0632201262468,82.5188059817328,59.8401870719345,100.0,72.1423320775521,64.7238031933308,2.83148029036111,95.9298906551502,100.0,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,2.95238947868347,54.0723190307617,41.4140357971191,23.1328891497424,,,,,529.178405761719,134.065246582031,93.8561553955078,13.3074369430542,372.455871582031,78.7303314208984,83.3070983886719,422.491363525391,92.4140701293945,89.8704376220703,889878,254992,6221.73193359375,1782.81945800781,640,25702,179.699859619141,4.4746675491333,9289,14261,,,0.997081816196442,0.649456083774567,1.30904304981232,0.675057828426361,5690,686,39.7825927734375,4.79628467559814,9.91712951660156,17.5194161546492,285.986433544663,120.605392216567,13.67,209.53,130.96,547.664460076321,230.95951158209,401.250272250661,250.788601412431,1662069,259.60968591328
2010,CE,77.081156118486,83.2689289150003,70.3530109294674,100.0,87.6127411805001,23.7356159658859,1.5047379837881,100.0,100.0,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,1.74647402763367,41.4387855529785,55.9710006713867,19.6819600676339,,,,,508.453308105469,132.494277954102,97.0542297363281,5.09077644348145,334.163299560547,65.1412124633789,80.5973129272461,378.033477783203,76.5403900146484,87.4836502075195,486423,100216,5640.98583984375,1162.19226074219,504,14227,164.988708496094,5.84482431411743,5125,7987,,,0.926242291927338,0.594339728355408,1.14939510822296,0.588941395282745,4640,369,53.8094902038574,4.27924633026123,11.7063245773315,21.4098969272824,332.322490660115,137.471102604779,16.11,232.5,167.62,636.398080715836,263.257372914457,445.237857577811,320.992557794377,1022259,260.811469684894
2010,DF,46.4496899556367,20.9541272438178,15.7486808969325,100.0,88.9984065558844,21.4614158889142,29.8816298656954,94.1953107216026,92.412929660824,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,1.88470315933228,27.9044532775879,68.649299621582,11.9890827939739,,,,,410.828674316406,85.9063949584961,81.0980606079102,0.958437025547028,336.48828125,62.5435028076172,79.2036819458008,376.498321533203,71.6901016235352,85.7004623413086,154494,27979,5849.28271484375,1059.31030273438,390,5288,200.208465576172,14.7657527923584,2717,7261,,,2.74908018112183,1.0286808013916,2.8091938495636,0.962831199169159,2309,512,87.4208297729492,19.3847827911377,24.2914810180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98552,54.1741902161543
2010,ES,67.4532769710017,71.1128616405315,52.4391352486623,100.0,91.0398165601135,25.4153630904957,44.6571189833077,100.0,99.7182332251608,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,0.917979657649994,32.2392158508301,64.673210144043,11.9707653979501,,,,,588.783752441406,152.834060668945,125.526374816895,1.36494588851929,397.711730957031,83.3810119628906,100.367942810059,445.712432861328,95.2736434936523,109.296455383301,196215,38892,5456.39306640625,1081.51794433594,262,5210,144.880905151367,7.28575754165649,2181,6263,,,1.74162983894348,0.606497645378113,1.99939131736755,0.609876334667206,2588,421,71.9677124023438,11.7072668075562,29.9258613586426,18.6117559302274,334.350087935685,216.161929853339,12.77,406.79,252.57,640.280932616934,413.950428119509,779.003475630442,483.67193844485,189983,105.601269123927
2010,GO,77.4866611545146,68.4334913858563,62.4782579349678,100.0,86.5103142295202,9.72049181359409,19.0481635640123,100.0,100.0,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,1.93653118610382,28.5026741027832,67.8974838256836,17.7134913907617,,,,,532.672546386719,129.317749023438,103.211959838867,6.02243041992188,400.967864990234,84.7312240600586,93.9241027832031,450.565521240234,97.2565155029297,101.799674987793,398591,107887,6523.84375,1765.81494140625,472,12006,196.505355834961,7.72534799575806,3242,8479,,,1.38778018951416,0.530626654624939,1.43630504608154,0.537492752075195,4868,385,79.6758346557617,6.30139636993408,12.9750328063965,18.5887688758926,374.105955139355,181.053304625747,12.16,265.19,161.17,716.413479455256,346.717356812689,507.83925785402,308.640797874477,326084,104.495219046671
2010,MA,83.7830277905081,91.7576468422704,81.4344686733663,100.0,72.8267378813628,2.18568227028933,0.920126244234037,100.0,100.0,77.83612067375063,82.32676640784312,75.82137642447513,62.957022449957634,2.51074719429016,70.5225601196289,26.148738861084,29.0199740370345,,,,,388.453887939453,121.040733337402,93.6080093383789,6.6669225692749,320.203216552734,89.1184234619141,88.6756820678711,357.628295898438,101.522743225098,95.7114562988281,404976,123056,6034.54296875,1833.65612792969,229,12701,189.257461547852,3.41232657432556,3541,3762,,,0.560575187206268,0.527644038200378,0.768790423870087,0.555173575878143,2051,195,30.5619277954102,2.90569281578064,5.13140869140625,22.7866780686456,328.692111899291,128.647051408715,12.03,179.99,115.59,629.445899805447,246.359301302876,344.681126819055,221.355027773846,871297,310.776739475691
