ano,sigla_uf,id_regiao_saude,nome_regiao_saude,cob_ab,cob_acs,cob_esf,cob_vac_bcg,cob_vac_rota,cob_vac_menin,cob_vac_pneumo,cob_vac_polio,cob_vac_tvd1,cob_vac_penta,cob_vac_hepb,cob_vac_hepa,pct_prenatal_adeq,pct_prenatal_zero,pct_prenatal_1a6,pct_prenatal_7m,tx_mort_inf_ibge,n_obitos,n_obitos_csap,n_obitos_evit,n_obitos_maldef,tx_mort,tx_mort_csap,tx_mort_evit,pct_mort_maldef,tx_mort_aj_oms,tx_mort_csap_aj_oms,tx_mort_evit_aj_oms,tx_mort_aj_cens,tx_mort_csap_aj_cens,tx_mort_evit_aj_cens,n_hosp,n_hosp_csap,tx_hosp,tx_hosp_csap,n_leitouti_sus,n_leito_sus,tx_leito_sus,tx_leitouti_sus,n_enf,n_med,n_enf_ch,n_med_ch,tx_med,tx_enf,tx_med_ch,tx_enf_ch,n_leito_nsus,n_leitouti_nsus,tx_leito_nsus,tx_leitouti_nsus,cob_priv,pct_desp_recp_saude_mun,desp_tot_saude_pc_mun,desp_recp_saude_pc_mun,pct_desp_recp_saude_uf,desp_tot_saude_pc_uf,desp_recp_saude_pc_uf,desp_tot_saude_pc_mun_def,desp_recp_saude_pc_mun_def,desp_tot_saude_pc_uf_def,desp_recp_saude_pc_uf_def,num_familias_bf,gasto_pbf_pc_def
2010,AC,12002,Baixo Acre e Purus,66.7785789854038,83.9655020083051,50.4946569796813,100,71.8058094657729,0.794815358278308,6.00243753808653,99.6953077391834,93.1241113142393,,,,,4.1473708152771,56.0666885375977,39.4257469177246,,,,,,418.769409179688,108.876014709473,78.4310531616211,9.48483371734619,396.966369628906,96.4369125366211,82.1627807617188,440.354248046875,109.354637145996,87.9607696533203,30648,5406,6179.31884765625,1089.96984863281,34,913,184.081115722656,6.85515642166138,440,572,,,1.15327930450439,0.887137889862061,1.32062578201294,0.938450753688812,128,12,25.8076477050781,2.41946697235107,9.10647106170654,15.6860315819938,202.336201466977,126.080399001477,,,,387.474136996083,241.444157995584,,,35650,173.094425151218
2010,AC,12001,Alto Acre,96.8679238447186,100,91.4334365885912,92.6223520818115,73.6303871439007,0,6.35500365230095,100,100,,,,,11.1111106872559,62.7543029785156,24.2566509246826,,,,,,398.679779052734,106.205680847168,65.3573379516602,22.5409832000732,371.814392089844,91.2858428955078,59.1716423034668,413.274383544922,102.434463500977,63.9677581787109,4119,936,6730.17236328125,1529.36181640625,0,81,132.348617553711,0,57,44,,,0.718930780887604,0.931342124938965,0.894578635692596,0.886408925056458,0,0,0,0,0.823502480983734,15.9631410533573,229.175911305955,114.282062643793,,,,438.872222616368,218.850325725142,,,5167,210.211767056595
2010,AC,12003,Juruá e Tarauacá/Envira,89.4345850127499,92.8739615036604,87.0933412848565,100,56.2566465792272,0.134048257372654,2.51683800070897,100,100,,,,,17.6909084320068,59.5454559326172,15.0181818008423,,,,,,329.095916748047,75.4278259277344,61.0148658752441,22.7737216949463,340.897613525391,77.0938415527344,66.5515365600586,378.916229248047,85.6740341186523,72.4183197021484,14371,4097,6904.28857421875,1968.32995605469,0,399,191.692367553711,0,122,111,,,0.533279538154602,0.586127042770386,0.782023191452026,0.733980000019073,16,0,7.68691205978394,0,0.697106838226318,17.1240174488723,203.220211859179,87.0946703098974,,,,389.167018256729,166.786427592363,,,18962,241.026348146398
2010,AL,27010,10ª Região de Saúde,80.7270211225647,100,80.7270211225647,95.5839057899902,70.4612365063788,2.12084833933573,8.8976120379457,100,96.5652600588813,,,,,2.62980437278748,60.3506393432617,36.142951965332,,,,,,467.199768066406,139.903228759766,96.2636871337891,14.1483516693115,347.881774902344,92.7282562255859,83.8953857421875,388.285827636719,104.31005859375,90.4274444580078,9894,3414,6349.552734375,2190.96142578125,0,163,104.606536865234,0,64,76,,,0.487736016511917,0.410725057125092,0.593305170536041,0.426769018173218,0,0,0,0,1.99137473106384,16.107574665727,261.6651365238,140.176254468576,,,,501.089138875967,268.437742894068,,,23218,361.474157538938
2010,AL,27005,5ª Região de Saúde,88.8747421645401,98.9170910683971,83.6979537447748,99.7359387377872,70.5571692632691,3.74966992342223,10.1399524689728,94.9300237655136,98.045946659625,,,,,2.73426365852356,58.7012252807617,37.6246070861816,,,,,,516.842712402344,171.101898193359,101.688468933105,3.42172789573669,459.146850585938,142.112655639648,100.855087280273,511.182250976562,159.781158447266,108.867469787598,13178,3471,5826.30712890625,1534.61169433594,7,264,116.720680236816,3.09486651420593,98,106,,,0.468651205301285,0.433281302452087,0.750284075737,0.434386610984802,20,7,8.84247589111328,3.09486651420593,2.32159209251404,19.6966834338741,294.205408123685,126.254658638203,,,,563.403809035678,241.777865467921,,,27817,269.718519081082
2010,AL,27007,7ª Região de Saúde,97.7618605063735,100,91.4115277690979,94.8446794448116,75.9638686935448,2.1347896239295,4.8689138576779,94.7565543071161,95.8471028860983,,,,,1.65451812744141,55.0503311157227,41.0621299743652,,,,,,533.852416992188,150.837005615234,83.7105941772461,17.3446750640869,415.844604492188,101.726989746094,77.5533065795898,461.811950683594,115.129554748535,82.4116897583008,33581,7772,6629.91845703125,1534.43090820312,59,831,164.064865112305,11.6484079360962,275,449,,,0.886463582515717,0.542934238910675,1.22318148612976,0.557149231433868,120,12,23.6916770935059,2.36916756629944,3.26806926727295,20.9800382978413,362.895836599173,113.735039048955,,,,694.946085209991,217.802774699723,,,72660,326.502709184865
2010,AL,27004,4ª Região de Saúde,92.7380262395279,98.4041572264081,92.7380262395279,100,93.2481022772673,1.74863387978142,4.23491809828206,100,100,,,,,2.93398523330688,55.1752243041992,40.6682968139648,,,,,,538.34765625,172.466766357422,117.305328369141,6.0959792137146,453.825256347656,128.386184692383,118.836891174316,502.200988769531,146.214172363281,127.727249145508,8451,1961,5900.876953125,1369.26037597656,0,244,170.372024536133,0,67,91,,,0.635403871536255,0.467824816703796,0.861461043357849,0.462587982416153,0,0,0,0,1.9655624628067,15.515527278262,294.511684045503,98.35264641368,,,,563.990327897003,188.345469145526,,,23536,377.59967057577
2010,AL,27001,1ª Região de Saúde,51.033143654338,38.7061123935454,40.6981255803998,100,69.5616841891411,5.07877051889391,6.303011834019,100,100,,,,,2.66978931427002,47.2963829040527,49.1751251220703,,,,,,610.412780761719,167.600326538086,117.219970703125,3.16178488731384,500.613891601562,128.380142211914,115.221824645996,558.390502929688,145.317276000977,124.184043884277,64060,8570,5352.18212890625,716.019348144531,113,2107,176.038833618164,9.44109535217285,619,2039,,,1.70357465744019,0.517171502113342,2.08265972137451,0.536722123622894,683,130,57.0643196105957,10.8614368438721,20.7809371948242,16.9975450138646,338.428456569677,134.894300591964,,,,648.091014823434,258.322793096875,,,115900,201.393524422537
2010,AL,27008,8ª Região de Saúde,100,99.5568278609259,100,92.015065913371,86.1770244821092,3.04480208786429,4.7834274952919,98.0037664783428,97.7024482109228,,,,,1.89520621299744,54.4407272338867,42.1776275634766,,,,,,600.058654785156,169.623382568359,94.3769226074219,21.3602542877197,405.081451416016,90.2938613891602,83.8703308105469,449.140869140625,101.581314086914,89.8069152832031,9280,1744,5917.68798828125,1112.1171875,16,149,95.0146026611328,10.2029104232788,70,80,,,0.510145545005798,0.446377336978912,1.09505927562714,0.474435329437256,33,2,21.0435028076172,1.27536380290985,17.5317878723145,21.2967803856251,363.371631632209,121.699906681526,,,,695.857233430013,233.055508465816,,,26337,376.679195469567
2010,AL,27003,3ª Região de Saúde,95.2576594033343,100,91.8301221117286,100,68.5543964232489,2.49816311535636,5.04222553402881,98.7332339791356,89.1952309985097,,,,,14.3258428573608,34.2952003479004,50.9703788757324,,,,,,589.618347167969,176.107879638672,109.324111938477,14.7401084899902,513.501647949219,141.304885864258,111.214836120605,570.542236328125,157.495040893555,119.615882873535,13666,2836,6251.1435546875,1297.25183105469,0,273,124.876495361328,0,100,105,,,0.480294227600098,0.457423061132431,0.787453830242157,0.477778375148773,16,0,7.3187689781189,0,1.65449917316437,18.1509598615964,303.632059328928,108.727720164158,,,,581.455860591616,208.213751334234,,,33861,355.125172886606
